Section,Content
Verse 1,"['La-la-la-la La-la-la-la La-la-la-la (uh, yeah)', 'La-la-la-la', 'I want you to love me', ""Like I'm a hot ride (uh, yeah)"", 'Be thinking of me (uh)', 'Doing what you like', 'So, boy, forget about the world', ""'Cause it's gon' be me and you tonight (yeah)"", 'I wanna make you beg for it', ""Then I'ma make you swallow your pride, oh (uh, uh)"", ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart"", 'Only girl in the world']"
Verse 2,"[""'Cause I'm the only one who understands"", 'How to make you feel like a man, yeah', ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart""]"
Verse 3,"['Want you to take it (uh)', 'Like a thief in the night (uh)', 'Hold me like a pillow Make me feel right (uh)', ""Baby, I'll tell you all my secrets that I'm keeping"", 'You can come inside (yeah)', ""And when you enter, you ain't leaving"", 'Be my prisoner for the night, oh', ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart"", ""Only girl in the world Like I'm the only one that's in command"", ""'Cause I'm the only one who understands"", ""Like I'm the only one who knows your heart""]"
Verse 4,[]
Verse 5,[]
Verse 6,[]
Verse 7,"['Oh, make it last all night, night']"
Verse 8,[]
Verse 9,[]
Verse 10,"[' Make it last all night', ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart"", 'Only girl in the world']"
Verse 11,"[""'Cause I'm the only one who understands"", 'How to make you feel like a man', 'Only girl in the world']"
Verse 12,['Only girl in the world']
Verse 13,[]
Pre-or-Post-Chorus 1,Like I'm the only one that's in command
Pre-or-Post-Chorus 2,Only one
Pre-or-Post-Chorus 3,Only one
Pre-or-Post-Chorus 4,"Take me for a ride, ride"
Pre-or-Post-Chorus 5,"Oh, baby, take me high, high"
Pre-or-Post-Chorus 6,"Let me make you rise, rise"
Pre-or-Post-Chorus 7,"Take me for a ride, ride"
Pre-or-Post-Chorus 8,"Oh, baby, take me high, high"
Pre-or-Post-Chorus 9,"Let me make you rise, rise"
Pre-or-Post-Chorus 10,"Oh, baby, take me high, high"
Pre-or-Post-Chorus 11,"Let me make you rise, rise"
Pre-or-Post-Chorus 12,"Let me make you rise, rise"
Pre-or-Post-Chorus 13,"Take me for a ride, ride"
Pre-or-Post-Chorus 14,"Oh, baby, take me high, high"
Pre-or-Post-Chorus 15,"Let me make you rise, rise"
Pre-or-Post-Chorus 16,"Oh, baby, take me high, high"
Pre-or-Post-Chorus 17,"Let me make you rise, rise"
Pre-or-Post-Chorus 18,"Let me make you rise, rise"
Pre-or-Post-Chorus 19,Like I'm the only one that's in command
Pre-or-Post-Chorus 20,Girl in the world
Pre-or-Post-Chorus 21,Girl in the world
Chorus 1,Want you to make me feel like I'm the only girl in the world
Chorus 2,Like I'm the only one that you'll ever love
Chorus 3,Like I'm the only one who knows your heart
Chorus 4,Only girl in the world
Chorus 5,'Cause I'm the only one who understands
Chorus 6,Want you to make me feel like I'm the only girl in the world
Chorus 7,Like I'm the only one that you'll ever love
Chorus 8,Like I'm the only one who knows your heart
Chorus 9,Want you to make me feel like I'm the only girl in the world
Chorus 10,Like I'm the only one that you'll ever love
Chorus 11,Like I'm the only one who knows your heart
Chorus 12,'Cause I'm the only one who understands
Chorus 13,Like I'm the only one who knows your heart
Chorus 14,Want you to make me feel like I'm the only girl in the world
Chorus 15,Like I'm the only one that you'll ever love
Chorus 16,Like I'm the only one who knows your heart
Chorus 17,Only girl in the world
Chorus 18,'Cause I'm the only one who understands
Chorus 19,Only girl in the world
Chorus 20,Only girl in the world
